Change%,Company,Company2,Price,Volume,Low,High
▼ -1.18%,DAN,Dana Incorporated,12.53,902316,12.38,12.69
▲ 3.24%,DRI,"Darden Restaurants, Inc",78.64,1771881,75.17,78.8
▲ 2.30%,PLAY,"Dave & Buster's Entertainment, Inc",13.32,4204887,12.75,13.48
▼ -0.32%,DECK,Deckers Outdoor Corporation,205.78,285757,204.61,209.12
▼ -0.99%,DLPH,Delphi Technologies PLC,16,843236,15.87,16.15
▼ -2.14%,DLA,"Delta Apparel, Inc",12.35,15850,12.21,12.8999
▲ 10.63%,TACO,"Del Taco Restaurants, Inc",7.91,1405300,7.25,7.95
▲ 1.69%,DENN,Denny's Corporation,9.01,1249302,8.66,9.04
▼ -4.19%,DBI,Designer Brands Inc,6.4,1077389,6.36,6.79
▼ -2.05%,DESP,"Despegar.com, Corp",8.11,242305,7.91,8.24
▼ -1.58%,DXLG,"Destination XL Group, Inc",0.435,2918523,0.418,0.4749
▲ 0.95%,DKS,"DICK'S Sporting Goods, Inc",44.6,1312177,43.6,44.83
▼ -0.44%,DDS,"Dillard's, Inc",24.98,256192,24.67,25.68
▲ 2.59%,DIN,"Dine Brands Global, Inc",42.43,504277,40.22,42.6
▲ 1.47%,DPZ,"Domino's Pizza, Inc",386.91,545833,376.5759,387.23
▲ 1.19%,DORM,"Dorman Products, Inc",73.79,140377,72.2,75.35
▼ -1.90%,PLOW,"Douglas Dynamics, Inc",36.64,83619,36.5,37.6
▲ 2.13%,DVD,"Dover Motorsports, Inc",1.44,17722,1.37,1.45
▲ 3.70%,DKNG,DraftKings Inc Class A,37.55,10971251,34.2,37.68
▼ -0.20%,DHI,"D.R. Horton, Inc",63.75,2905447,62.26,64.21
▼ -0.60%,DS,Drive Shack Inc,1.65,658400,1.62,1.72
▼ -1.98%,DLTH,Duluth Holdings Inc,7.44,132000,7.26,7.67
▲ 0.78%,DNKN,"Dunkin' Brands Group, Inc",69.91,784594,68.84,70.42
▼ -0.05%,EBAY,eBay Inc,55.12,6509620,54.04,55.36
