Change%,Company,Company2,Price,Volume,Low,High
▼ -1.71%,L,Loews Corporation,36.24,19871,36.2,36.655
▼ -1.26%,LPLA,LPL Financial Holdings Inc,74.995,7616,74.995,75.52
▲ 2.90%,LBC,Luther Burbank Corporation,9.92,437,9.92,9.92
▲ 0.23%,MAIN,Main Street Capital Corporation,30.14,32980,29.94,30.14
▼ -2.04%,MFC,Manulife Financial Corporation,13.695,216758,13.65,13.89
▲ 30.77%,MARA,"Marathon Patent Group, Inc",1.36,8944386,1.275,1.43
▼ -0.84%,MKL,Markel Corporation,1006.925,3630,999.915,1017.28
▲ 2.25%,MKTX,MarketAxess Holdings Inc,517.21,6375,510.175,517.21
▼ -0.65%,MMC,"Marsh & McLennan Companies, Inc",113.875,60943,113.365,114.37
▲ 0.02%,MA,Mastercard Incorporated,306.98,221902,306.105,307.89
▼ -0.13%,MBI,MBIA Inc,7.73,25194,7.72,7.73
▼ -3.83%,MCC,Medley Capital Corporation,13.35,8550,13.35,13.55
▼ -2.85%,MBIN,Merchants Bancorp,16.73,227,16.73,16.73
▼ -0.93%,EBSB,"Meridian Bancorp, Inc",11.67,2563,11.67,11.67
▲ 1.89%,MRBK,Meridian Corporation,14.285,31,14.285,14.285
▼ -1.70%,MET,"MetLife, Inc",37.57,394204,37.43,37.91
▼ -3.16%,MTG,MGIC Investment Corporation,7.505,382841,7.485,7.7
▲ 6.42%,MBCN,Middlefield Banc Corp,19.975,168,19.975,19.975
▲ 5.19%,MSBI,"Midland States Bancorp, Inc",15.4,0,15.4,15.4
▲ 1.82%,MUFG,"Mitsubishi UFJ Financial Group, Inc",3.91,57219,3.91,3.92
▼ -1.08%,MC,Moelis & Company,30.34,9870,30.34,30.69
▲ 1.17%,MGI,"MoneyGram International, Inc",3.015,52767,3.015,3.015
▲ 0.48%,MRCC,Monroe Capital Corporation,6.29,1246,6.29,6.29
▲ 0.14%,MCO,Moody's Corporation,290.09,45797,289.25,290.09
▼ -0.68%,MS,Morgan Stanley,49.84,2504851,49.775,50.11
▼ -0.15%,MORN,"Morningstar, Inc",161.055,2752,159.36,163.28
▼ -0.53%,COOP,Mr. Cooper Group Inc,13.14,23475,13.115,13.17
▲ 0.70%,MSCI,MSCI Inc,388.34,13562,387.11,388.34
▼ -3.35%,MTB,M&T Bank Corporation,101.61,23510,101.61,104.17
▲ 0.16%,MVC,"MVC Capital, Inc",6.35,2009,6.35,6.35
▼ -0.16%,NDAQ,"Nasdaq, Inc",130.35,71563,130.21,130.89
▼ -0.80%,NBHC,National Bank Holdings Corporation,27.855,1315,27.855,27.855
▲ 0.22%,NGHC,National General Holdings Corp,33.865,89958,33.845,33.865
▼ -0.87%,NWLI,"National Western Life Group, Inc",198.44,86,198.44,198.44
▼ -2.00%,NAVI,Navient Corporation,7.86,210363,7.815,7.94
▼ -0.17%,NBTB,NBT Bancorp Inc,29.84,829,29.84,29.84
▲ 0.74%,NML,Neuberger Berman MLP Income Fund Inc,2.74,66451,2.74,2.74
▼ -2.03%,NYCB,"New York Community Bancorp, Inc",10.14,162655,10.13,10.275
▼ -4.11%,NMIH,"NMI Holdings, Inc",13.75,90553,13.7,14.31
▼ -0.49%,NOAH,Noah Holdings Limited,29.395,2106,29.395,29.395
▼ -1.64%,NTRS,Northern Trust Corporation,74.78,71121,74.63,75.46
▼ -2.24%,NFBK,"Northfield Bancorp, Inc. (Staten Island, NY)",9.835,12996,9.77,10.02
▼ -2.37%,NWBI,"Northwest Bancshares, Inc",9.69,33307,9.69,9.81
▲ 0.37%,JCO,Nuveen Credit Opportunities 2022 Target Term Fund,8.05,767,8.05,8.05
▲ 0.53%,NXN,Nuveen New York Select Tax-Free Income Portfolio,13.33,25,13.33,13.33
▼ -1.09%,OCSL,Oaktree Specialty Lending Corporation,4.52,5647,4.52,4.55
▼ -2.41%,OFG,OFG Bancorp,13.75,16771,13.75,13.75
▼ -2.14%,ONB,Old National Bancorp,13.915,22224,13.9,14.18
▼ -0.79%,ORI,Old Republic International Corporation,16.42,124960,16.4,16.465
▼ -1.10%,ONDK,"On Deck Capital, Inc",0.7744,50049,0.765,0.7753
▼ -2.46%,OMF,"OneMain Holdings, Inc",24.58,17780,24.58,24.62
▲ 0.23%,LPRO,Open Lending Corporation Class A,17.68,354,17.68,17.95
▼ -2.01%,OPES,Opes Acquisition Corp,11.24,13123,11.24,11.24
▲ 0.95%,OPRT,Oportun Financial Corporation,13.81,28640,13.81,13.81
▼ -0.84%,ORCC,Owl Rock Capital Corporation,11.75,52833,11.75,11.75
▼ -2.75%,PPBI,"Pacific Premier Bancorp, Inc",20.5,21837,19.88,20.5
▼ -3.93%,PACW,PacWest Bancorp,18.58,49364,18.57,19.01
▲ 0.32%,PLMR,"Palomar Holdings, Inc",82.56,5217,82.56,82.56
▲ 0.93%,PYPL,"PayPal Holdings, Inc",174.17,479575,172.51,174.295
0.00%,PCSB,PCSB Financial Corporation,11.43,2746,11.43,11.43
▼ -0.39%,PFSI,"PennyMac Financial Services, Inc",43.35,23439,43.22,43.49
▼ -2.90%,PEBO,Peoples Bancorp Inc,20.07,1707,20.07,20.07
▼ -0.52%,PFIS,Peoples Financial Services Corp,38.39,710,38.39,38.39
▼ -2.54%,PBCT,"People's United Financial, Inc",11.695,396246,11.665,11.945
▼ -2.70%,PNFP,"Pinnacle Financial Partners, Inc",40.73,15104,40.73,41.44
0.00%,MHI,Pioneer Municipal High Income Trust,11.63,2590,11.63,11.63
