Change%,Company,Company2,Price,Volume,Low,High
0.00%,VIV,Telefônica Brasil S.A,9.44,2423180,9.28,9.49
▼ -1.74%,TEF,"Telefonica, S.A",4.52,872796,4.51,4.57
▼ -1.92%,TDS,"Telephone and Data Systems, Inc",19.37,509383,19.3,19.88
▲ 0.12%,TU,TELUS Corporation,17.06,1033800,16.99,17.16
▼ -0.76%,TME,Tencent Music Entertainment Group,15.62,5666200,15.14,15.715
▼ -0.30%,NCTY,The9 Limited,0.705,322172,0.67,0.7139
▲ 9.59%,SSP,The E.W. Scripps Company,11.43,820300,10.38,11.54
▲ 0.49%,IPG,"The Interpublic Group of Companies, Inc",18.55,4545840,18.33,18.905
▼ -0.88%,BATRA,The Liberty Braves Group,19.09,50100,18.885,19.32
▼ -1.53%,BATRK,The Liberty Braves Group,18.68,75800,18.57,18.97
▲ 0.00%,LSXMB,The Liberty SiriusXM Group,36.282,0,36.282,36.282
▼ -0.55%,LSXMA,The Liberty SiriusXM Group,34.27,427300,33.98,34.71
▲ 0.09%,LSXMK,The Liberty SiriusXM Group,34.41,656000,33.95,34.65
▼ -2.93%,MCS,The Marcus Corporation,14.56,189722,14.2127,14.88
▼ -0.48%,MEET,"The Meet Group, Inc",6.23,1439596,6.215,6.26
▲ 1.60%,NYT,The New York Times Company,45,1130220,43.91,45.19
▼ -0.43%,DIS,The Walt Disney Company,117.61,7632631,115.53,118.21
▼ -2.68%,TSU,TIM Participacoes S.A,13.78,717976,13.64,13.93
▲ 0.40%,TMUS,"T-Mobile US, Inc",104.93,4980000,104.23,105.23
▼ -0.22%,TSQ,"Townsquare Media, Inc",4.59,7797,4.515,4.615
▼ -2.78%,TPCO,Tribune Publishing Company,9.44,113300,9.37,9.97
▼ -0.60%,TRVG,trivago N.V,1.67,496233,1.61,1.79
▼ -2.21%,TRUE,"TrueCar, Inc",2.87,402097,2.825,2.94
0.00%,TC,TuanChe Limited,1.55,3800,1.5,1.59
▼ -1.73%,TKC,Turkcell Iletisim Hizmetleri A.S,5.69,771209,5.685,5.795
▼ -2.37%,TWLO,Twilio Inc,248.29,2786500,235.7,250.48
▼ -2.34%,TWTR,"Twitter, Inc",37.54,23063100,37.14,38.54
▼ -1.75%,USM,United States Cellular Corporation,30.27,111361,30.02,30.87
▼ -4.29%,UONEK,"Urban One, Inc",1.56,512900,1.55,1.63
▼ -0.78%,UONE,"Urban One, Inc",13.96,98400,13.77,14.16
▼ -6.52%,UXIN,Uxin Limited,1.29,3126332,1.16,1.37
▲ 1.75%,VEON,VEON Ltd,1.74,6695100,1.67,1.76
▲ 1.79%,VZ,Verizon Communications Inc,56.85,17977100,56.14,57.57
▼ -0.71%,VIACA,ViacomCBS Inc. Class A,26.75,61177,26.32,27.28
▼ -1.51%,VIAC,ViacomCBS Inc. Class B,24.75,8644000,24.44,25.48
▼ -4.47%,VOD,Vodafone Group Plc,15.61,4773456,15.49,15.77
▼ -1.12%,VG,Vonage Holdings Corp,11.52,1822700,11.46,11.63
▼ -1.45%,WSG,Wanda Sports Group Company Limited,2.04,132095,2,2.08
▲ 0.11%,WMG,Warner Music Group Corp. Class A,28.31,423280,27.26,28.47
▲ 1.17%,WB,Weibo Corporation,33.72,1077267,32.62,33.92
▲ 10.11%,WOW,"WideOpenWest, Inc",6.1,521700,5.55,6.16
▼ -1.84%,WWE,"World Wrestling Entertainment, Inc",44.72,824137,44.24,45.6
▼ -0.25%,WPP,WPP plc,39.36,183352,39.14,39.85
▼ -3.62%,XNET,Xunlei Limited,3.46,458362,3.38,3.56
▲ 0.02%,YNDX,Yandex N.V,56.22,1905090,55.19,56.44
▼ -0.29%,YELP,Yelp Inc,23.77,648973,23.0101,23.85
▼ -1.31%,YY,YY Inc,76.6,773388,74.51,77.145
▲ 0.15%,ZG,"Zillow Group, Inc",65.43,521700,64,67.28
▲ 0.34%,Z,"Zillow Group, Inc",65.72,2415039,64.25,67.67
▼ -1.96%,ZM,"Zoom Video Communications, Inc",246.56,4295500,237.2,250.21
▲ 0.32%,ZNGA,Zynga Inc,9.55,14140625,9.26,9.63
